tau,alpha,t,path,id
2.292805,1.136969,-2.55,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s3__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]"
2.292805,1.136969,-1.58,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s3__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]"
2.292805,1.136969,-0.62,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s3__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]"
2.292805,1.136969,0.34,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s3__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]"
2.292805,1.136969,1.3,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s3__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]"
2.292805,1.136969,2.26,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s3__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]"
2.292805,1.136969,3.22,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s3__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]"
2.292805,1.136969,4.19,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s3__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]"
2.292805,1.136969,5.15,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s3__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]"
2.292805,1.136969,6.11,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s3__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s3__tp_0__age_-2.55.vtk', 3, 3, 3, 3, 3, 3, 3, 3, 3]"
-0.977405,1.002083,-2.35,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s4__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]"
-0.977405,1.002083,-1.37,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s4__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]"
-0.977405,1.002083,-0.38,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s4__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]"
-0.977405,1.002083,0.61,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s4__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]"
-0.977405,1.002083,1.59,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s4__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]"
-0.977405,1.002083,2.58,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s4__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]"
-0.977405,1.002083,3.56,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s4__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]"
-0.977405,1.002083,4.55,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s4__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]"
-0.977405,1.002083,5.53,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s4__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]"
-0.977405,1.002083,6.52,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s4__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s4__tp_0__age_-2.35.vtk', 4, 4, 4, 4, 4, 4, 4, 4, 4]"
-1.941504,0.949275,-6.89,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s5__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]"
-1.941504,0.949275,-5.7,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s5__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]"
-1.941504,0.949275,-4.5,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s5__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]"
-1.941504,0.949275,-3.31,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s5__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]"
-1.941504,0.949275,-2.11,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s5__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]"
-1.941504,0.949275,-0.92,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s5__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]"
-1.941504,0.949275,0.28,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s5__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]"
-1.941504,0.949275,1.47,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s5__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]"
-1.941504,0.949275,2.67,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s5__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]"
-1.941504,0.949275,3.86,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s5__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s5__tp_0__age_-6.89.vtk', 5, 5, 5, 5, 5, 5, 5, 5, 5]"
-0.543077,1.366659,-3.95,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s6__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]"
-0.543077,1.366659,-3.05,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s6__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]"
-0.543077,1.366659,-2.16,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s6__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]"
-0.543077,1.366659,-1.26,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s6__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]"
-0.543077,1.366659,-0.36,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s6__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]"
-0.543077,1.366659,0.54,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s6__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]"
-0.543077,1.366659,1.44,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s6__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]"
-0.543077,1.366659,2.34,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s6__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]"
-0.543077,1.366659,3.24,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s6__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]"
-0.543077,1.366659,4.14,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s6__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s6__tp_0__age_-3.95.vtk', 6, 6, 6, 6, 6, 6, 6, 6, 6]"
0.394938,0.878944,-4.5,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s7__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]"
0.394938,0.878944,-3.19,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s7__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]"
0.394938,0.878944,-1.88,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s7__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]"
0.394938,0.878944,-0.58,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s7__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]"
0.394938,0.878944,0.73,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s7__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]"
0.394938,0.878944,2.04,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s7__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]"
0.394938,0.878944,3.35,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s7__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]"
0.394938,0.878944,4.66,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s7__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]"
0.394938,0.878944,5.96,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s7__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]"
0.394938,0.878944,7.27,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s7__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s7__tp_0__age_-4.50.vtk', 7, 7, 7, 7, 7, 7, 7, 7, 7]"
1.772963,0.856016,-1.1,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s8__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s8__tp_0__age_-1.10.vtk', 8, 8, 8, 8, 8, 8, 8, 8, 8]"
1.772963,0.856016,-0.17,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s8__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s8__tp_0__age_-1.10.vtk', 8, 8, 8, 8, 8, 8, 8, 8, 8]"
1.772963,0.856016,0.76,/network/lustre/dtlake01/aramis/users/paul.vernhet/Data/synthetic_longitudinal/starmen/output_random/images/SimulatedData__Reconstruction__starman__subject_s8__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s8__tp_0__age_-1.10.vtk', 8, 8, 8, 8, 8, 8, 8, 8, 8]"
